OpportunityId,Name,Subject,Country,SalesUnitId,ADUCategory,Product_Family,Application,Owner,Prognosis,PrognosisDate,ProbabilityId,ProcessName,ADUOpportunityType,SegmentId,ADUEndCustomer,ADULifeOfProject,ADUEstimatedPriceEndCustomer,ADUPiecePotential,annualTotal,ADUCommentsPMLocalValidation,AduLevelOfComplexity,ADUStrategicCustomer,AduPriorityMarket,Date_Created,OPENEDDATE,Opportunity_Number,PROGNOSISDAYS,DATAAREAID,ESTIMATEDREVENUE
OP-005772,APEM COMPONENTS LTD,Nearside MK2,United Kingdom,SUBSIDIARY,4-AV19 AV,1-SWITCH,other,Sales Person 15,3 months,4/17/18,80,CPI,CPICC,Indirect Sales,Siemens Plc,5,6.0,8000,48000.0,"This is a long term target with a potencial of more than 25000 if the other adopt the solution
17/1/2018: Hi Marc, Siemen require to know what is the maximum dia you are prepared to comit to for the actuator without compramising the current compliance matrix, RB",Level 3 - Heavy product modification,No,Standard,1/17/18 0:00,1/17/18,OP-005772,90,fr02,48000
OP-008748,DDDL,KR - COVIS - SungHwa/S&T - MAJ prix13445 et cache spé,South Korea,EXPORT1,4-13000,1-SWITCH,dge,Sales Person 3,3 months,4/2/20,90,CPI,CPI,DgE,SungHwa - S&T,1,35.58,50,1779.0,No additional comments.,Level 1 - No product modification,No,Focus,1/3/20 0:00,1/3/20,OP-008748,90,fr02,3000
OP-008749,Liebherr Elektronik GmbH,Liebherr :  EMCA Grip,Germany,DE-BW,1-Joystick,1-Joystick,construction - vehicles - excavators,Sales Person 14,24 months,12/23/21,20,CPICC,CPI,MaH,Liebherr Elektronik,5,250.0,10000,2500000.0,See above,Unknown,No,Non Strategic,1/3/20 0:00,1/3/20,OP-008749,720,fr02,2500000
OP-008750,"COVIS CO., LTD",KR - COVIS - SAMSUNG SDI  - IRP3F422X1172-137 - soldering 6,South Korea,EXPORT1,4-IR,1-SWITCH,battery backpack,Sales Person 3,18 months,6/29/21,10,CPI,CPI,Other applications,MAKITA,1,4.6,50000,230000.0,No additional comments.,Level 1 - No product modification,No,Standard,1/6/20 0:00,1/6/20,OP-008750,540,fr02,184000
OP-005773,MODUL DISTRIBUTION,10RM logo personalisé,France,CENTRE_IDF_1/2_EST,1-SWITCH,1-SWITCH,miroir,Sales Person 2,6 months,7/16/18,30,CPI,CPI,Inst. Cons. Comp,Other,5,2.0,5000,10000.0,No additional comments.,Level 2 - Minor product modification,No,Non Strategic,1/17/18 0:00,1/17/18,OP-005773,180,fr02,10000
OP-005775,AVNET EUROPE COMM.VA,TARIFS IKD0205101,Belgium,FRANCE,1-SWITCH,1-SWITCH,other,Sales Person 38,1 month,2/16/18,10,CPICC,CPI,Indirect Sales,Other,1,1.0E-4,5000,0.5,We don't have pricing for that part number,Unknown,No,Non Strategic,1/17/18 0:00,1/17/18,OP-005775,30,fr02,1
OP-008753,SUPRAERO,Prix spécial,France,CENTRE_IDF_1/2_EST,1-SWITCH,1-SWITCH,aerospatial,Sales Person 38,<  1 month,1/21/20,70,SpecialPrice,SP,Indirect Sales,Other,0,0.0,7000,0.0,No additional comments.,Unknown,No,Non Strategic,1/6/20 0:00,1/6/20,OP-008753,15,fr02,1
OP-005776,NSE,CLAVIER 58 TOUCHES RETROECLAIREES,France,SUD_EST,1-KEYBOARD,1-KEYBOARD,other,Sales Person 10,<  1 month,2/1/18,70,CPI,CPI,Other Mil.Aero,Other,1,700.0,80,56000.0,No additional comments.,Level 3 - Heavy product modification,No,Focus,1/17/18 0:00,1/17/18,OP-005776,15,fr02,56000
OP-005777,PELLENC,Q14F3CXXSB12E en sachet individuel,France,SUD_EST,1-Indicator,1-Indicator,other,Sales Person 10,<  1 month,2/1/18,90,CPICC,CPI,AgM,Other,5,6.0,500,3000.0,"Can we have the Q14F3CXXSB12E in individual bags, with its accessories inside the individual bag ?",Unknown,No,Non Strategic,1/17/18 0:00,1/17/18,OP-005777,15,fr02,3000
OP-008756,APEM INC,GENERAL DYNAMICS : 3545 with locker F,United States,SUBSIDIARY,1-SWITCH,1-SWITCH,aerospace and defence,Sales Person 47,9 months,10/2/20,50,CPI,CPI,Indirect Sales,GENERAL DYNAMICS,5,18.0,700,12600.0,No additional comments.,Level 2 - Minor product modification,No,Standard,1/6/20 0:00,1/6/20,OP-008756,270,fr02,10000
